pair_id,group,subclass,backbone,mode,fov_ratio,scale_ratio,n_gt,n_matches,n_inliers,family,runtime_s,mu_ed,med_ed,p1,p3,p5,p10,mu_ed_tps,med_ed_tps,status,error
eval_In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning_3#0,SerialSectioning,In718-PrecipitationStrengthened_SEM-BSE_EBSD_SameSliceSerialSectioning,sift,classical,0.5592,5.12007,44,40,5,homography+mmi,5.95,3639.163,1341.356,0.000,0.000,0.000,0.000,,,ok,
eval_In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning_0#0,SlipPartitioning,In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning,sift,classical,,,56,,,,,,,,,,,,,failed,matcher returned only 0 correspondences (<4)
eval_In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning_0#1,SlipPartitioning,In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning,sift,classical,,,56,,,,,,,,,,,,,failed,matcher returned only 0 correspondences (<4)
eval_In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning_0#2,SlipPartitioning,In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning,sift,classical,,,56,,,,,,,,,,,,,failed,matcher returned only 0 correspondences (<4)
eval_In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning_0#3,SlipPartitioning,In718-PrecipitationStrengthened_SEM-DIC_EBSD_SlipPartitioning,sift,classical,,,56,,,,,,,,,,,,,failed,matcher returned only 0 correspondences (<4)
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#0,SerialSectioning,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,sift,classical,0.6667,1.00000,20,60,5,homography+mmi,2.74,2262.175,2533.948,0.000,0.000,0.000,0.000,,,ok,
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#1,SerialSectioning,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,sift,classical,0.9226,0.46130,39,11,4,homography+mmi,2.86,397.441,182.376,0.000,0.000,0.000,0.000,,,ok,
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#2,SerialSectioning,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,sift,classical,0.9226,0.46130,39,14,4,homography+mmi,2.49,292.380,263.654,0.000,0.000,0.000,0.000,,,ok,
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_0#3,SerialSectioning,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,sift,classical,0.9226,0.46130,39,22,5,homography+mmi,3.67,995.036,1005.896,0.000,0.000,0.000,0.000,,,ok,
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_1#0,SerialSectioning,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,sift,classical,0.3333,1.00000,26,6,3,homography+mmi,2.69,1215.838,953.840,0.000,0.000,0.000,0.000,,,ok,
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_1#1,SerialSectioning,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,sift,classical,0.3333,1.00000,26,56,7,homography+mmi,1.70,1368.643,574.318,0.000,0.000,0.000,0.000,,,ok,
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_2#0,SerialSectioning,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,sift,classical,0.3333,1.00000,44,34,6,homography+mmi,1.86,592.689,612.392,0.000,0.000,0.000,0.000,,,ok,
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_2#1,SerialSectioning,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,sift,classical,0.3333,1.00000,44,52,5,homography+mmi,2.11,10831.030,7962.970,0.000,0.000,0.000,0.000,,,ok,
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_3#0,SerialSectioning,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,sift,classical,0.3333,1.00000,53,31,5,homography+mmi,2.56,647.979,634.458,0.000,0.000,0.000,0.000,,,ok,
eval_In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning_3#1,SerialSectioning,In718-SolutionStrengthened_SEM-SE_EBSD_SameSliceSerialSectioning,sift,classical,0.3333,1.00000,53,41,5,homography+mmi,1.31,776.789,715.381,0.000,0.000,0.000,0.000,,,ok,
eval_MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization_0#0,DislocationCharacterization,MoTaTiZrHf-HEA-DDRX-1100C_TEM_DislocationCharacterization,sift,classical,1.0000,1.00000,24,742,686,homography+mmi,13.61,73.704,69.970,0.000,0.000,0.000,0.000,,,ok,
